"EFF_DATE","FIX_ID","ICAO_REGION_CODE","STATE_CODE","COUNTRY_CODE","NAV_ID","NAV_TYPE","BEARING","DISTANCE"
"2025/10/30","AABEE","K7","GA","US","PDK","LOC",25.51,12.86
"2025/10/30","AABEZ","K3","MN","US","MSP","LOC",121.36,10.02
"2025/10/30","AADCO","K2","UT","US","DTA","VORTAC",348,29
"2025/10/30","AADPO","P","AS","US","TUT","NDB",292,
"2025/10/30","AADPO","P","AS","US","TUT","VORTAC",,18
"2025/10/30","AAJAE","K4","LA","US","BAD","LOC",149.39,
"2025/10/30","AAJAE","K4","LA","US","BAD","TACAN",,4.48
"2025/10/30","AAKAY","K7","GA","US","HZK","LOC",274.99,19.09
"2025/10/30","AALAN","K2","AZ","US","BLD","VORTAC",36.95,58
"2025/10/30","AANDI","K7","MS","US","GPT","VORTAC",86,8.2
"2025/10/30","AANNE","K2","CA","US","SNS","LOC",134.82,
"2025/10/30","AANNE","K2","CA","US","SNS","VORTAC",131.15,22
"2025/10/30","AANTS","K6","VA","US","CSN","VORTAC",285.58,28.44
"2025/10/30","AANTS","K6","VA","US","MRB","VORTAC",222.88,49.22
"2025/10/30","AAREE","K4","LA","US","BAD","TACAN",143,4.4
"2025/10/30","AARPS","K7","FL","US","FLL","VOR/DME",357.57,38.27
"2025/10/30","AARPS","K7","FL","US","PBI","VORTAC",282.2,10.04
"2025/10/30","AASEN","K1","WA","US","BTG","VORTAC",329.16,5
"2025/10/30","AASEN","K1","WA","US","UBG","VOR/DME",7.21,32.5
"2025/10/30","AASON","K2","NV","US","BQU","VOR/DME",30.87,9.13
"2025/10/30","AASON","K2","NV","US","EKO","LOC",62.6,8.91
"2025/10/30","AASUN","K3","MN","US","PJL","LOC",301.33,2.85
"2025/10/30","ACAGI","K2","CO","US","BQZ","VOR/DME",131.32,2.32
"2025/10/30","ACAGU","K2","NM","US","TBE","VOR/DME",131.62,32.88
"2025/10/30","ACAKO","K1","MT","US","MLS","VOR/DME",28.87,66.15
"2025/10/30","ACEKO","K2","CA","US","SWR","VOR/DME",214.38,15
"2025/10/30","ACELA","K6","CT","US","HFD","VOR/DME",234.01,16.05
"2025/10/30","ACELA","K6","CT","US","MAD","VOR/DME",344.92,8.5
"2025/10/30","ACELL","K2","CA","US","PDZ","VORTAC",256.38,16.48
"2025/10/30","ACELL","K2","CA","US","SLI","VORTAC",33.96,12.89
"2025/10/30","ACENO","K7","NC","US","POB","LOC",48.45,
"2025/10/30","ACENO","K7","NC","US","POB","TACAN",49,12
"2025/10/30","ACETI","K7","FL","US","VQQ","LOC",184.56,7.51
